,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path
0,0,0,14,14,4,0,5,1,False,0,0,1,True
1,1,1,16,30,6,7,5,2,False,0,0,1,True
2,2,2,7,37,5,7,5,0,False,0,0,1,True
3,3,3,23,60,5,5,5,0,True,0,0,1,True
4,4,4,19,79,4,5,5,1,False,0,0,1,True
5,5,5,9,88,2,2,5,3,True,0,0,1,True
6,6,6,9,97,5,4,5,0,False,0,0,1,True
7,7,7,19,116,5,5,5,0,True,0,0,1,True
8,8,8,22,138,4,4,5,1,True,0,0,1,True
9,9,9,9,147,5,2,5,0,False,0,0,1,True
10,10,10,13,160,7,5,5,2,False,0,0,1,True
11,11,11,18,178,2,4,5,3,False,0,0,1,True
12,12,12,20,198,5,4,5,0,False,0,0,1,True
13,13,13,23,221,5,5,5,0,True,0,0,1,True
14,14,14,22,243,5,5,5,0,True,0,0,1,True
15,15,15,14,257,7,4,5,2,False,0,0,1,True
16,16,16,17,274,5,4,5,0,False,0,0,1,True
17,17,17,22,296,1,1,5,3,True,0,0,1,True
18,18,18,20,316,5,5,5,0,True,0,0,1,True
19,19,19,21,337,7,6,5,2,False,0,0,1,True
20,20,20,14,351,5,3,5,0,False,1,1,1,True
21,21,21,21,372,6,6,5,2,True,0,0,1,True
22,22,22,10,382,5,5,5,0,True,0,0,1,True
23,23,23,15,397,5,5,5,0,True,0,0,1,True
24,24,24,8,405,1,6,5,3,False,0,0,1,True
25,25,25,9,414,7,7,5,2,True,0,0,1,True
26,26,26,18,432,5,5,5,0,True,0,0,1,True
27,27,27,9,441,1,1,5,3,True,0,0,1,True
28,28,28,14,455,5,5,5,0,True,0,0,1,True
29,29,29,16,471,5,5,5,0,True,0,0,1,True
30,30,30,17,488,5,5,5,0,True,0,0,1,True
31,31,31,17,505,4,0,5,1,False,0,0,1,True
32,32,32,17,522,4,5,5,1,False,0,0,1,False
33,33,33,16,538,1,7,5,3,False,0,0,1,True
34,34,34,16,554,5,5,5,0,True,0,0,1,True
35,35,35,8,562,4,4,5,1,True,0,0,1,True
36,36,36,15,577,7,7,5,2,True,0,0,1,True
37,37,37,18,595,5,5,5,0,True,0,0,1,True
38,38,38,12,607,4,5,5,1,False,0,0,1,True
39,39,39,17,624,5,5,5,0,True,0,0,1,True
