,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,subset,full_prediction,full_prior_habit,full_surprise,full_cost,full_error,full_ll,full_alpha,full_rho,learn_prediction,learn_ll,learn_alpha,plan_prediction,plan_surprise,plan_cost,plan_error,plan_ll,plan_rho,learn_rho,plan_alpha
0,0,0,14,14,4,0,5,1,False,0,0,1,train,0.5857524368932038,0.12499999999999999,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.881291505355903,1.88,0.9136842105263158,0.12499999999999999,-0.13353139262452263,0.15,0.6876438138801266,2.079441541679836,0.9056424162998411,1.173799125379995,-1.1636111201486383,0.9442105263157896,0.95,1.0
1,1,1,16,30,6,7,5,2,False,0,0,1,train,0.5806145451334316,0.1368352913292405,2.089423064089666,0.6307300192782472,1.4586930448114186,-0.8689648419298062,1.88,0.9136842105263158,0.07924052253329064,-0.08255643050688583,0.15,0.6876438138801266,2.079441541679836,0.9056424162998411,1.173799125379995,-1.1636111201486383,0.9442105263157896,0.95,1.0
2,2,2,7,37,5,7,5,0,False,0,0,1,train,0.6007919840999753,0.13230830777219535,2.049180526017608,0.6377113653131209,1.411469160704487,-0.9182726548365452,1.88,0.9136842105263158,0.08810715661138727,-0.09223279209545066,0.15,0.6876438138801266,2.079441541679836,0.9056424162998411,1.173799125379995,-1.1636111201486383,0.9442105263157896,0.95,1.0
3,3,3,23,60,5,5,5,0,True,0,0,1,train,0.6707600835932652,0.17137603268770055,1.897645715459326,0.6478843554437488,1.2497613600155772,-0.3993437564785339,1.88,0.9136842105263158,0.23026428127997223,-1.4685275806671698,0.15,0.6876438138801266,2.079441541679836,0.9056424162998411,1.173799125379995,-0.37448428749165774,0.9442105263157896,0.95,1.0
4,4,4,19,79,4,5,5,1,False,0,0,1,train,0.6751295536573284,0.2113532069305195,1.8873049363117644,0.647710919275725,1.2395940170360396,-1.124328802763052,1.88,0.9136842105263158,0.28387756386631224,-0.3339041264536421,0.15,0.6876438138801266,2.079441541679836,0.9056424162998411,1.173799125379995,-1.1636111201486383,0.9442105263157896,0.95,1.0
5,5,5,9,88,2,2,5,3,True,0,0,1,train,0.4616765267225471,0.21043712478200524,2.296785622629895,0.5622114702906444,1.7345741523392508,-0.7728907917351138,1.88,0.9136842105263158,0.025013364993925265,-3.6883449972044673,0.15,0.6876438138801267,2.079441541679836,0.9056424162998411,1.173799125379995,-0.3744842874916576,0.9442105263157896,0.95,1.0
6,6,6,9,97,5,4,5,0,False,0,0,1,train,0.712344261757841,0.20122432766714538,1.795634198157411,0.641720986739859,1.153913211417552,-1.2459908671766604,1.88,0.9136842105263158,0.29406882259435074,-0.34823752866887453,0.15,0.6876438138801266,2.079441541679836,0.9056424162998411,1.173799125379995,-1.1636111201486383,0.9442105263157896,0.95,1.0
7,7,7,19,116,5,5,5,0,True,0,0,1,train,0.7501416920285515,0.23426969105664738,1.693899803713681,0.6263159364261758,1.0675838672875053,-0.2874931675906924,1.88,0.9136842105263158,0.368973259974918,-0.9970311037600454,0.15,0.6876438138801266,2.079441541679836,0.9056424162998411,1.173799125379995,-0.37448428749165774,0.9442105263157896,0.95,1.0
8,8,8,22,138,4,4,5,1,True,0,0,1,train,0.7054282217550526,0.26611944995896475,1.8122569115659513,0.6433844025326223,1.168872509033329,-0.34895025382192424,1.88,0.9136842105263158,0.2988512376573364,-1.2078093623206287,0.15,0.6876438138801266,2.079441541679836,0.9056424162998411,1.173799125379995,-0.37448428749165774,0.9442105263157896,0.95,1.0
9,9,9,9,147,5,2,5,0,False,0,0,1,train,0.7758398075996775,0.26125215781508343,1.618262509557542,0.6094041928293272,1.0088583167282148,-1.495394338076881,1.88,0.9136842105263158,0.3944144013338217,-0.5015593574154672,0.15,0.6876438138801266,2.079441541679836,0.9056424162998411,1.173799125379995,-1.1636111201486383,0.9442105263157896,0.95,1.0
