,Unnamed: 0,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path,subset,full_prediction,full_prior_habit,full_surprise,full_cost,full_error,full_ll,full_alpha,full_rho,full_kappa,learn_prediction,learn_ll,learn_alpha,learn_kappa,plan_prediction,plan_surprise,plan_cost,plan_error,plan_ll,plan_rho,plan_kappa,learn_rho,plan_alpha
0,0,0,0,14,14,4,0,5,1,False,0,0,1,True,train,0.6285823829787234,0.12499999999999999,2.645041033451166,0.7414064274412447,1.9036346060099212,-0.9904281970978177,5.0,0.9,0.7105263157894737,0.12499999999999999,-0.13353139262452263,30.0,0.9,0.42494480645161287,2.2149247227149247,0.29614461336555725,1.9187801093493673,-0.5532892540116109,0.75,0.9,0.75,30.0
1,1,1,1,16,30,6,7,5,2,False,0,0,1,True,train,0.6034303239957678,0.1312582518353993,2.5964745309442123,0.683685279623758,1.9127892513204543,-0.9249035257182057,5.0,0.9,0.7105263157894737,0.12500644297912472,-0.13353875605634652,30.0,0.9,0.3769454,2.1900315301526967,0.2419975222736389,1.948034007879058,-0.4731211235854455,0.75,0.9,0.75,30.0
2,2,2,2,7,37,5,7,5,0,False,0,0,1,True,train,0.6381709890816277,0.1297557502998341,2.6440248805169135,0.7436999745989932,1.9003249059179206,-1.0165835242760148,5.0,0.9,0.7105263157894737,0.12546924415664854,-0.13406781550972577,30.0,0.9,0.42494480645161287,2.2149247227149242,0.29614461336555736,1.918780109349367,-0.5532892540116109,0.75,0.9,0.75,30.0
3,3,3,3,23,60,5,5,5,0,True,0,0,1,True,train,0.6823931362672274,0.14890693013223463,2.691841377087923,0.7778857576039653,1.9139556194839575,-0.38214934108029974,5.0,0.9,0.7105263157894737,0.1275694554214266,-2.059094314301859,30.0,0.9,0.42829248736462094,2.259535390651833,0.3415320023374049,1.9180033883144285,-0.8479489351062423,0.75,0.9,0.75,30.0
4,4,4,4,19,79,4,5,5,1,False,0,0,1,True,train,0.6632325995021616,0.16865711078582438,2.7876430528762794,0.7082015111964437,2.0794415416798357,-1.0883627931696271,5.0,0.9,0.7105263157894737,0.12814046309612637,-0.13712694958043584,30.0,0.9,0.3997845757575757,2.3487094618054565,0.2692679201256204,2.079441541679836,-0.5104666478015323,0.75,0.9,0.75,30.0
5,5,5,5,9,88,2,2,5,3,True,0,0,1,True,test,0.5395031065166326,0.17213526540729904,2.743770518052465,0.6503855655341894,2.0933849525182757,-0.6171067361603356,5.0,0.9,0.7105263157894737,0.12212480856672904,-2.102711736139526,30.0,0.9,0.3769398,2.3411766725560987,0.2419975222736387,2.09917915028246,-0.9756697859822187,0.75,0.9,0.75,30.0
6,6,6,6,9,97,5,4,5,0,False,0,0,1,True,train,0.753155416358204,0.16735572583720915,2.7458227231184122,0.8858683470627614,1.859954376055651,-1.398996356418758,5.0,0.9,0.7105263157894737,0.13018535424999064,-0.13947514089412483,30.0,0.9,0.5404593652968038,2.386844117468904,0.5381932169235903,1.8486509005453138,-0.7775279086628061,0.75,0.9,0.75,30.0
7,7,7,7,19,116,5,5,5,0,True,0,0,1,True,train,0.7150279028346755,0.18726736707670907,2.7799512407220486,0.7005096990422125,2.079441541679836,-0.33543371210598055,5.0,0.9,0.7105263157894737,0.1331732816145659,-2.016104129475643,30.0,0.9,0.3997845757575757,2.3487094618054565,0.2692679201256204,2.079441541679836,-0.9168294375560695,0.75,0.9,0.75,30.0
8,8,8,8,22,138,4,4,5,1,True,0,0,1,True,train,0.6650799260913043,0.2049776595679067,2.7246529137941113,0.6452113721142754,2.0794415416798357,-0.4078480559374916,5.0,0.9,0.7105263157894737,0.13166315126637626,-2.027508502348268,30.0,0.9,0.3570997567567567,2.2940263309511346,0.21458478927129868,2.0794415416798357,-1.029740105544787,0.75,0.9,0.75,30.0
9,9,9,9,9,147,5,2,5,0,False,0,0,1,True,train,0.7365291871402483,0.20618117937575564,2.7667399706598403,0.6872984289800042,2.079441541679836,-1.3338126842715194,5.0,0.9,0.7105263157894737,0.13605532777199048,-0.14624654900166026,30.0,0.9,0.3997845757575757,2.3487094618054565,0.2692679201256204,2.079441541679836,-0.5104666478015323,0.75,0.9,0.75,30.0
10,10,10,10,13,160,7,5,5,2,False,0,0,1,True,train,0.5282414680823904,0.2229561587221337,2.643190799799287,0.563749258119451,2.079441541679836,-0.7512880092211133,5.0,0.9,0.7105263157894737,0.12431995862799358,-0.13275450434095368,30.0,0.9,0.32274368292682926,2.239445305444049,0.1600037637642139,2.0794415416798353,-0.38970547052529797,0.75,0.9,0.75,30.0
11,11,11,11,18,178,2,4,5,3,False,0,0,1,True,train,0.5459304231835508,0.22047765147688014,2.7678079038813364,0.6883663622015003,2.079441541679836,-0.7895048397831471,5.0,0.9,0.7105263157894737,0.12025845981561674,-0.1281271189853786,30.0,0.9,0.3997845757575757,2.3487094618054565,0.2692679201256204,2.079441541679836,-0.5104666478015323,0.75,0.9,0.75,30.0
12,12,12,12,20,198,5,4,5,0,False,0,0,1,True,train,0.7628403971944283,0.21517669510063733,2.578492157691131,0.7207384051798895,1.8577537525112415,-1.439021934939567,5.0,0.9,0.7105263157894737,0.13751543132610364,-0.14793802162925906,30.0,0.9,0.4249448064516129,2.2149247227149247,0.29614461336555725,1.9187801093493673,-0.5532892540116111,0.75,0.9,0.75,30.0
13,13,13,13,23,221,5,5,5,0,True,0,0,1,True,train,0.7634377515786437,0.23089816099291155,2.7517036269805866,0.6722620853007505,2.079441541679836,-0.26992368799609173,5.0,0.9,0.7105263157894737,0.13958016320961505,-1.969116196102978,30.0,0.9,0.3997845757575757,2.3487094618054565,0.2692679201256204,2.079441541679836,-0.9168294375560695,0.75,0.9,0.75,30.0
14,14,14,14,22,243,5,5,5,0,True,0,0,1,True,train,0.7924728627351509,0.24601015332153686,2.5440906240169245,0.6963307652914461,1.8477598587254784,-0.23259701642248054,5.0,0.9,0.7105263157894737,0.14161249327043404,-1.9546608723035195,30.0,0.9,0.4249448064516129,2.2149247227149247,0.29614461336555725,1.9187801093493673,-0.8557959856638672,0.75,0.9,0.75,30.0
15,15,15,15,14,257,7,4,5,2,False,0,0,1,True,train,0.5472165968575478,0.261112802486604,2.6815974914533154,0.6021559497734794,2.0794415416798357,-0.7923414066022726,5.0,0.9,0.7105263157894737,0.12472708023041511,-0.13321953294970945,30.0,0.9,0.3570997567567567,2.2940263309511346,0.21458478927129884,2.0794415416798357,-0.4417657094814126,0.75,0.9,0.75,30.0
16,16,16,16,17,274,5,4,5,0,False,0,0,1,True,train,0.7699185550682075,0.25853085328509856,2.684888108856321,0.6054465671764845,2.079441541679836,-1.4693219243414262,5.0,0.9,0.7105263157894737,0.14398622978559072,-0.15546881627070824,30.0,0.9,0.3570997567567567,2.2940263309511346,0.21458478927129868,2.0794415416798357,-0.4417657094814126,0.75,0.9,0.75,30.0
