id,trials,optimal_path,highest_reward_path,number_max_rewards,in_optimal_path
1,0,4,[4],1,True
1,1,6,"[2, 3, 6]",2,True
1,2,5,"[0, 1, 2, 3, 4, 5, 6, 7]",2,True
1,3,5,"[0, 1, 2, 3, 4, 5]",3,True
1,4,4,"[4, 5]",1,True
1,5,2,"[2, 3, 5]",2,True
1,6,5,"[4, 5]",2,True
1,7,5,"[4, 5]",1,True
1,8,4,"[4, 5, 6, 7]",1,True
1,9,5,"[4, 5]",1,True
1,10,7,"[2, 3, 4, 5, 6, 7]",1,True
1,11,2,"[2, 3]",1,True
1,12,5,[5],1,True
1,13,5,"[4, 5]",1,True
1,14,5,[5],1,True
1,15,7,"[4, 5, 6, 7]",1,True
1,16,5,"[4, 5, 6, 7]",1,True
1,17,1,"[0, 1]",2,True
1,18,5,"[4, 5]",2,True
1,19,7,"[2, 4, 5, 6, 7]",3,True
1,20,5,[5],1,True
1,21,6,"[0, 1, 4, 5, 6, 7]",2,True
1,22,5,"[3, 4, 5]",2,True
1,23,5,"[4, 5, 6, 7]",2,True
1,24,1,"[0, 1, 3]",3,True
1,25,7,"[4, 5, 6, 7]",1,True
1,26,5,"[4, 5]",1,True
1,27,1,"[1, 2]",2,True
1,28,5,[5],1,True
1,29,5,[5],1,True
1,30,5,[5],1,True
1,31,4,"[4, 5]",1,True
1,32,4,[2],1,False
1,33,1,"[0, 1, 2, 3, 4, 5, 6, 7]",2,True
1,34,5,"[3, 5, 6]",3,True
1,35,4,"[0, 1, 4, 5]",2,True
1,36,7,"[5, 6, 7]",3,True
1,37,5,"[4, 5, 6, 7]",2,True
1,38,4,"[2, 3, 4, 5, 6, 7]",1,True
1,39,5,"[3, 4, 5]",2,True
1,40,6,[6],1,True
1,41,4,"[4, 5, 6, 7]",1,True
1,42,6,[6],1,True
1,43,5,"[4, 5, 6, 7]",1,True
1,44,5,"[5, 7]",2,True
1,45,5,"[4, 5, 6, 7]",1,True
1,46,3,[3],1,True
1,47,6,[6],1,True
1,48,5,"[4, 5, 6, 7]",2,True
1,49,2,"[0, 1, 2, 3, 4, 5]",4,True
1,50,2,[2],1,True
1,51,5,[5],1,True
1,52,4,[4],1,True
1,53,6,[6],1,True
1,54,6,"[0, 1]",2,False
1,55,4,[4],1,True
1,56,3,"[0, 1, 2, 3]",3,True
1,57,2,"[2, 6, 7]",3,True
1,58,5,[5],1,True
1,59,5,"[4, 5]",1,True
1,60,5,"[2, 5]",2,True
1,61,5,"[2, 3, 4, 5, 6, 7]",1,True
1,62,5,"[0, 1, 3, 4, 5, 6, 7]",4,True
1,63,5,"[1, 5]",2,True
1,64,5,"[4, 5, 6, 7]",1,True
1,65,4,[4],1,True
1,66,5,"[2, 6, 7]",2,False
1,67,6,[6],1,True
1,68,5,"[0, 1]",1,False
1,69,6,[6],1,True
1,70,2,[2],1,True
1,71,5,[1],1,False
1,72,3,[3],1,True
1,73,5,"[3, 4, 5, 6, 7]",2,True
1,74,2,[2],1,True
1,75,4,[4],1,True
1,76,6,"[6, 7]",1,True
1,77,2,"[4, 5]",2,False
1,78,5,"[4, 5]",1,True
1,79,5,"[4, 5]",2,True
1,80,3,"[0, 1, 3]",3,True
1,81,5,"[0, 1, 2, 3, 4, 5]",2,True
1,82,5,"[2, 5]",2,True
1,83,5,"[4, 5]",1,True
1,84,5,[5],1,True
1,85,5,[5],1,True
1,86,4,[4],1,True
1,87,4,[4],1,True
1,88,4,[4],1,True
1,89,5,"[2, 3, 5]",2,True
1,90,5,[5],1,True
1,91,5,"[0, 1]",1,False
1,92,5,"[4, 5, 6, 7]",1,True
1,93,5,"[4, 5]",1,True
1,94,4,[4],1,True
1,95,6,[6],1,True
1,96,4,[4],1,True
1,97,5,[5],1,True
1,98,5,[5],1,True
1,99,6,"[2, 3, 6]",3,True
10,0,4,"[3, 4]",2,True
10,1,4,"[3, 4, 5]",3,True
10,2,5,"[4, 5]",1,True
10,3,7,"[0, 1]",1,False
10,4,2,"[2, 3, 6]",3,True
10,5,5,"[4, 5]",2,True
10,6,4,"[4, 5]",1,True
10,7,4,"[0, 1, 4, 5, 6, 7]",3,True
10,8,4,"[4, 5]",2,True
10,9,5,"[4, 5]",1,True
10,10,3,"[0, 1, 2, 3]",1,True
10,11,4,"[4, 5, 6, 7]",2,True
10,12,4,"[4, 5]",1,True
10,13,4,[4],1,True
10,14,5,"[3, 5]",2,True
10,15,5,"[3, 5, 6, 7]",3,True
10,16,3,"[4, 5]",1,False
10,17,5,"[1, 4, 5, 6, 7]",2,True
10,18,4,"[3, 4, 5, 6, 7]",3,True
10,19,7,"[4, 5, 6, 7]",1,True
10,20,4,[4],1,True
10,21,4,"[4, 5]",2,True
10,22,1,"[0, 1]",2,True
10,23,4,"[4, 5, 6, 7]",2,True
10,24,5,"[0, 1, 2, 3, 4, 5, 6, 7]",3,True
10,25,7,"[1, 4, 5, 6, 7]",3,True
10,26,4,"[4, 5, 6, 7]",1,True
10,27,4,[4],1,True
10,28,4,"[4, 5]",1,True
10,29,6,"[0, 1, 2, 3, 4, 5, 6, 7]",4,True
10,30,4,"[4, 5, 6, 7]",1,True
10,31,4,"[4, 5, 6, 7]",1,True
10,32,4,"[0, 1, 2, 3, 4, 5]",2,True
10,33,6,"[1, 2, 3, 4, 5, 6, 7]",5,True
10,34,4,"[4, 5, 6, 7]",2,True
10,35,5,"[4, 5, 6, 7]",1,True
10,36,4,[3],1,False
10,37,7,[7],1,True
10,38,6,"[0, 6]",2,True
10,39,1,"[0, 1, 3, 4]",4,True
10,40,3,[3],1,True
10,41,2,[2],1,True
10,42,1,[1],1,True
10,43,1,[1],1,True
10,44,4,"[4, 5]",1,True
10,45,2,[2],1,True
10,46,6,[6],1,True
10,47,4,[4],1,True
10,48,2,[2],1,True
10,49,4,"[2, 4, 7]",3,True
10,50,5,[5],1,True
10,51,4,"[1, 4, 5]",2,True
10,52,6,"[2, 3, 6]",3,True
10,53,4,[4],1,True
10,54,4,[4],1,True
10,55,5,[5],1,True
10,56,6,[6],1,True
10,57,4,"[4, 5, 6, 7]",1,True
10,58,3,[3],1,True
10,59,5,"[4, 5]",1,True
10,60,4,[4],1,True
10,61,4,"[4, 5]",2,True
10,62,4,"[2, 4, 5]",3,True
10,63,6,"[2, 3, 6]",3,True
10,64,5,"[0, 1, 2, 3, 4, 5, 6, 7]",5,True
10,65,4,"[3, 4, 5]",3,True
10,66,6,"[2, 3, 6, 7]",3,True
10,67,4,[4],1,True
10,68,4,"[0, 1, 4, 5, 6, 7]",2,True
10,69,4,"[0, 2, 4, 5, 6]",5,True
10,70,6,"[4, 5, 6, 7]",1,True
10,71,4,[4],1,True
10,72,3,[3],1,True
10,73,6,[6],1,True
10,74,4,[4],1,True
10,75,4,"[4, 5, 6, 7]",2,True
10,76,4,[4],1,True
10,77,6,[6],1,True
10,78,1,"[0, 1, 2, 3]",1,True
10,79,6,[6],1,True
10,80,4,[4],1,True
10,81,5,"[4, 5, 6, 7]",2,True
10,82,4,"[0, 1, 2, 3, 4, 5, 6, 7]",2,True
10,83,4,[0],1,False
10,84,4,"[4, 5, 6, 7]",1,True
10,85,4,"[4, 5]",1,True
10,86,4,[4],1,True
10,87,6,"[6, 7]",2,True
10,88,5,[5],1,True
10,89,5,[5],1,True
10,90,2,[2],1,True
10,91,4,"[2, 3, 4, 5]",2,True
10,92,4,"[0, 1, 2, 3, 4, 5, 6, 7]",4,True
10,93,5,[5],1,True
10,94,5,"[4, 5, 6, 7]",1,True
10,95,4,"[2, 3, 4, 5, 6, 7]",3,True
10,96,4,[4],1,True
10,97,4,[4],1,True
10,98,5,[5],1,True
10,99,4,[4],1,True
11,0,1,"[0, 1, 2, 3, 4, 5]",2,True
11,1,3,"[0, 1, 2, 3]",2,True
11,2,0,"[0, 1, 2, 3, 4]",3,True
11,3,2,[2],1,True
11,4,1,[7],1,False
11,5,2,"[1, 2]",2,True
11,6,2,"[0, 2, 3, 4, 5, 6]",5,True
11,7,2,"[2, 4, 5, 6, 7]",2,True
11,8,2,"[5, 6]",2,False
11,9,3,"[0, 1, 2, 3]",1,True
11,10,6,"[6, 7]",1,True
11,11,3,"[2, 3]",1,True
11,12,7,[2],1,False
11,13,7,"[6, 7]",1,True
11,14,2,"[0, 1, 2, 3]",2,True
11,15,2,"[0, 1, 2, 3, 6, 7]",3,True
11,16,0,[0],1,True
11,17,2,[2],1,True
11,18,3,"[0, 1, 2, 3]",2,True
11,19,2,[2],1,True
11,20,3,"[2, 3]",1,True
11,21,3,"[2, 3, 4, 6]",4,True
11,22,2,"[2, 3]",1,True
11,23,1,"[0, 1, 2, 3, 4, 6, 7]",3,True
11,24,4,"[0, 1, 4, 5]",1,True
11,25,2,"[0, 1, 2, 3, 6, 7]",5,True
11,26,0,[0],1,True
11,27,2,[2],1,True
11,28,2,"[2, 3]",1,True
11,29,2,[2],1,True
11,30,2,"[2, 3]",2,True
11,31,5,"[0, 5]",2,True
11,32,1,[5],1,False
11,33,4,"[4, 6]",2,True
11,34,2,[2],1,True
11,35,2,[2],1,True
11,36,2,"[2, 3, 4, 5, 6, 7]",3,True
11,37,5,"[4, 5, 6, 7]",2,True
11,38,2,"[0, 1, 2, 3, 4, 5, 6, 7]",6,True
11,39,2,"[0, 1, 2, 3]",1,True
11,40,1,[1],1,True
11,41,2,[2],1,True
11,42,2,"[0, 1, 2, 3]",1,True
11,43,2,[2],1,True
11,44,2,"[0, 1, 2, 3]",1,True
11,45,2,"[0, 1, 2, 3, 5, 7]",4,True
11,46,6,[6],1,True
11,47,4,[4],1,True
11,48,2,"[2, 3, 6]",3,True
11,49,3,[3],1,True
11,50,1,[1],1,True
11,51,2,"[2, 3]",1,True
11,52,6,[6],1,True
11,53,2,[2],1,True
11,54,3,[3],1,True
11,55,3,"[2, 3]",2,True
11,56,2,"[0, 1, 2, 3, 4, 5, 6, 7]",2,True
11,57,6,"[2, 3, 4, 5, 6]",5,True
11,58,4,[4],1,True
11,59,5,[5],1,True
11,60,2,[2],1,True
11,61,2,"[2, 3]",2,True
11,62,4,"[2, 3]",2,False
11,63,3,"[3, 4, 5]",3,True
11,64,2,"[0, 1, 2, 3]",1,True
11,65,2,"[0, 1, 2, 3]",2,True
11,66,3,"[6, 7]",2,False
11,67,2,"[0, 1, 2, 3]",2,True
11,68,2,"[0, 2, 6, 7]",3,True
11,69,3,"[0, 1, 2, 3]",4,True
11,70,2,"[2, 3]",1,True
11,71,1,"[2, 3]",2,False
11,72,1,[1],1,True
11,73,2,"[2, 3, 5, 6]",4,True
11,74,2,"[2, 3]",1,True
11,75,6,[6],1,True
11,76,1,"[0, 1, 2, 3]",2,True
11,77,3,"[3, 4, 5]",3,True
11,78,4,"[4, 6, 7]",3,True
11,79,2,[2],1,True
11,80,2,"[0, 2]",2,True
11,81,2,"[0, 1, 2, 3]",1,True
11,82,1,[1],1,True
11,83,1,"[0, 1, 2, 3, 6, 7]",4,True
11,84,2,"[2, 3]",1,True
11,85,2,[2],1,True
11,86,3,"[0, 1, 2, 3, 6, 7]",3,True
11,87,4,[4],1,True
11,88,2,[2],1,True
11,89,1,[1],1,True
11,90,2,"[0, 1, 2, 3]",1,True
11,91,1,[1],1,True
11,92,2,[2],1,True
11,93,2,"[2, 3]",2,True
11,94,3,[3],1,True
11,95,2,"[0, 1, 2, 3, 4]",3,True
11,96,3,[3],1,True
11,97,2,"[0, 1, 2, 3]",2,True
11,98,1,"[0, 1, 2, 3]",2,True
11,99,2,"[0, 1, 2, 3]",2,True
12,0,4,"[4, 5, 6, 7]",1,True
12,1,4,"[4, 5]",1,True
12,2,5,"[4, 5, 6, 7]",2,True
12,3,5,[5],1,True
12,4,7,"[4, 5, 6, 7]",1,True
12,5,0,[0],1,True
12,6,5,"[0, 1, 4, 5]",1,True
12,7,5,"[5, 6]",2,True
12,8,7,[7],1,True
12,9,7,"[4, 5, 6, 7]",1,True
12,10,5,"[4, 5]",1,True
12,11,5,[5],1,True
12,12,6,"[0, 1, 2, 3, 6, 7]",3,True
12,13,5,"[0, 1, 2, 3, 4, 5, 6, 7]",5,True
12,14,0,"[0, 1, 5, 6, 7]",3,True
12,15,5,[5],1,True
12,16,5,"[4, 5]",1,True
12,17,5,"[4, 5, 6, 7]",2,True
12,18,5,"[4, 5]",1,True
12,19,5,"[4, 5, 6, 7]",1,True
12,20,1,"[0, 1, 5]",2,True
12,21,5,"[4, 5]",1,True
12,22,5,"[4, 5]",2,True
12,23,5,"[4, 5, 6, 7]",1,True
12,24,6,"[0, 4, 5, 6, 7]",3,True
12,25,5,"[4, 5]",1,True
12,26,7,"[4, 5, 6, 7]",1,True
12,27,5,"[0, 1, 2, 3, 4, 5, 6, 7]",1,True
12,28,5,[5],1,True
12,29,7,"[4, 5, 7]",3,True
12,30,6,"[0, 1, 2, 3, 4, 5, 6, 7]",4,True
12,31,7,"[6, 7]",2,True
12,32,5,"[4, 5, 6, 7]",1,True
12,33,4,"[3, 4, 5, 6, 7]",2,True
12,34,4,"[4, 5, 6, 7]",3,True
12,35,0,[0],1,True
12,36,4,"[0, 1, 4, 5]",4,True
12,37,4,"[1, 4, 5]",2,True
12,38,5,"[2, 4, 5, 6, 7]",3,True
12,39,4,"[4, 5]",2,True
12,40,6,[6],1,True
12,41,5,[5],1,True
12,42,3,"[0, 1, 3]",3,True
12,43,5,"[0, 3, 4, 5, 6, 7]",4,True
12,44,5,[5],1,True
12,45,6,[6],1,True
12,46,4,[4],1,True
12,47,5,"[4, 5]",1,True
12,48,5,"[0, 2, 4, 5, 6, 7]",4,True
12,49,5,"[4, 5, 6, 7]",1,True
12,50,5,[5],1,True
12,51,5,"[4, 5, 6, 7]",1,True
12,52,4,"[4, 5, 6, 7]",2,True
12,53,6,[6],1,True
12,54,5,"[3, 4, 5, 6, 7]",5,True
12,55,5,[5],1,True
12,56,5,"[4, 5]",1,True
12,57,6,[6],1,True
12,58,5,"[2, 4, 5, 6, 7]",3,True
12,59,4,"[2, 3]",2,False
12,60,5,"[1, 4, 5, 6, 7]",2,True
12,61,4,[4],1,True
12,62,5,[5],1,True
12,63,5,"[2, 4, 5, 6, 7]",3,True
12,64,5,"[4, 5]",2,True
