,id,rho,alpha,ll,model_type
0,1,0.7,0.02,-0.7382791549843212,full
1,1,0.7,0.14,-0.7424072672689896,full
2,1,0.7,1.0,-0.7942945825016905,full
3,1,0.7,7.39,-0.9182015641644978,full
4,1,0.7,54.6,-1.0190767415994135,full
5,1,0.7725,0.02,-0.5999985947928826,full
6,1,0.7725,0.14,-0.6029801195517576,full
7,1,0.7725,1.0,-0.6299586447040084,full
8,1,0.7725,7.39,-0.7312678843320978,full
9,1,0.7725,54.6,-0.8541608219243768,full
10,1,0.845,0.02,-0.5270087027269089,full
11,1,0.845,0.14,-0.5277799594286838,full
12,1,0.845,1.0,-0.5296860579352072,full
13,1,0.845,7.39,-0.5792202674119105,full
14,1,0.845,54.6,-0.6954882214216754,full
15,1,0.9175,0.02,-0.501511812848598,full
16,1,0.9175,0.14,-0.5001166470077075,full
17,1,0.9175,1.0,-0.49178445265907256,full
18,1,0.9175,7.39,-0.4996010800270366,full
19,1,0.9175,54.6,-0.5749031368323527,full
20,1,0.99,0.02,-0.6735929157523973,full
21,1,0.99,0.14,-0.7031143199275798,full
22,1,0.99,1.0,-0.7360956594972567,full
23,1,0.99,7.39,-0.754865598158481,full
24,1,0.99,54.6,-0.7799913793253387,full
25,1,0.95,0.02,-0.940227042260592,learn_only
26,1,0.95,0.14,-0.933704083832394,learn_only
27,1,0.95,1.0,-0.950917178545787,learn_only
28,1,0.95,7.39,-1.0621425772780866,learn_only
29,1,0.95,54.6,-1.3062616168958519,learn_only
30,1,0.7,1.0,-1.0557869162645568,plan_only
31,1,0.7725,1.0,-0.9061153530987388,plan_only
32,1,0.845,1.0,-0.7595791126228583,plan_only
33,1,0.9175,1.0,-0.6376144187728071,plan_only
34,1,0.99,1.0,-0.8023767004991503,plan_only
35,2,0.7,0.02,-0.999323182969883,full
36,2,0.7,0.14,-0.9830335255342597,full
37,2,0.7,1.0,-0.9902887768922186,full
38,2,0.7,7.39,-1.0589022045908476,full
39,2,0.7,54.6,-1.1226103793254119,full
40,2,0.7725,0.02,-0.9501622331882299,full
41,2,0.7725,0.14,-0.9002668476911613,full
42,2,0.7725,1.0,-0.8398467464402364,full
43,2,0.7725,7.39,-0.8666606857062963,full
44,2,0.7725,54.6,-0.9358510957508054,full
45,2,0.845,0.02,-0.9252627022397218,full
46,2,0.845,0.14,-0.8515248466119282,full
47,2,0.845,1.0,-0.7380543117460301,full
48,2,0.845,7.39,-0.701826294150605,full
49,2,0.845,54.6,-0.7495044943997472,full
50,2,0.9175,0.02,-0.859514270953623,full
51,2,0.9175,0.14,-0.7761940746113452,full
52,2,0.9175,1.0,-0.6553939666411811,full
53,2,0.9175,7.39,-0.5848010675692663,full
54,2,0.9175,54.6,-0.5844143589416426,full
55,2,0.99,0.02,-0.7360990526078398,full
56,2,0.99,0.14,-0.6963312768372745,full
57,2,0.99,1.0,-0.684317123517006,full
58,2,0.99,7.39,-0.6749838321985641,full
59,2,0.99,54.6,-0.6430082805756931,full
60,2,0.95,0.02,-1.5267937569786612,learn_only
61,2,0.95,0.14,-1.440079816681536,learn_only
62,2,0.95,1.0,-1.3457604581188929,learn_only
63,2,0.95,7.39,-1.370338474048782,learn_only
64,2,0.95,54.6,-1.5215967180073877,learn_only
65,2,0.7,1.0,-1.1454966246165645,plan_only
66,2,0.7725,1.0,-0.9664928229480372,plan_only
67,2,0.845,1.0,-0.7830401124119166,plan_only
68,2,0.9175,1.0,-0.606134899839331,plan_only
69,2,0.99,1.0,-0.6206436438213269,plan_only
70,3,0.7,0.02,-0.993341991922773,full
71,3,0.7,0.14,-0.9373532608648286,full
72,3,0.7,1.0,-0.9019700079881382,full
73,3,0.7,7.39,-0.9998797656996489,full
74,3,0.7,54.6,-1.0829889509677624,full
75,3,0.7725,0.02,-1.037341994503476,full
76,3,0.7725,0.14,-0.9339493292213426,full
77,3,0.7725,1.0,-0.7868660251531618,full
78,3,0.7725,7.39,-0.8130453385851177,full
79,3,0.7725,54.6,-0.9045290209321586,full
