,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,subset,full_prediction,full_prior_habit,full_ll,full_alpha,full_rho,learn_prediction,learn_ll,learn_alpha,plan_prediction,plan_ll,plan_rho,learn_rho,plan_alpha
0,0,0,14,14,4,0,5,1,False,0,0,1,train,0.5857524368932038,0.12499999999999999,-0.881291505355903,1.88,0.9136842105263158,0.12499999999999999,-0.13353139262452263,0.15,0.6876438138801263,-1.1636111201486372,0.9442105263157895,0.95,1.0
1,1,1,16,30,6,7,5,2,False,0,0,1,train,0.5806145451334316,0.1368352913292405,-0.8689648419298062,1.88,0.9136842105263158,0.07924052253329064,-0.08255643050688583,0.15,0.6876438138801263,-1.1636111201486372,0.9442105263157895,0.95,1.0
2,2,2,7,37,5,7,5,0,False,0,0,1,train,0.6007919840999753,0.13230830777219535,-0.9182726548365452,1.88,0.9136842105263158,0.08810715661138725,-0.09223279209545066,0.15,0.6876438138801262,-1.163611120148637,0.9442105263157895,0.95,1.0
3,3,3,23,60,5,5,5,0,True,0,0,1,train,0.6707600835932653,0.17137603268770057,-0.3993437564785337,1.88,0.9136842105263158,0.23026428127997228,-1.4685275806671696,0.15,0.6876438138801262,-0.3744842874916584,0.9442105263157895,0.95,1.0
4,4,4,19,79,4,5,5,1,False,0,0,1,test,0.6751295536573285,0.2113532069305195,-1.1243288027630525,1.88,0.9136842105263158,0.2838775638663122,-0.3339041264536421,0.15,0.6876438138801263,-1.1636111201486372,0.9442105263157895,0.95,1.0
5,5,5,9,88,2,2,5,3,True,0,0,1,train,0.461676526722547,0.21043712478200527,-0.772890791735114,1.88,0.9136842105263158,0.025013364993925254,-3.6883449972044677,0.15,0.6876438138801264,-0.3744842874916581,0.9442105263157895,0.95,1.0
6,6,6,9,97,5,4,5,0,False,0,0,1,train,0.7123442617578409,0.20122432766714538,-1.24599086717666,1.88,0.9136842105263158,0.2940688225943509,-0.3482375286688747,0.15,0.6876438138801262,-1.163611120148637,0.9442105263157895,0.95,1.0
7,7,7,19,116,5,5,5,0,True,0,0,1,train,0.7501416920285515,0.23426969105664738,-0.2874931675906924,1.88,0.9136842105263158,0.36897325997491803,-0.9970311037600453,0.15,0.6876438138801262,-0.3744842874916584,0.9442105263157895,0.95,1.0
8,8,8,22,138,4,4,5,1,True,0,0,1,train,0.7054282217550526,0.26611944995896475,-0.34895025382192424,1.88,0.9136842105263158,0.2988512376573363,-1.2078093623206292,0.15,0.6876438138801263,-0.37448428749165824,0.9442105263157895,0.95,1.0
9,9,9,9,147,5,2,5,0,False,0,0,1,train,0.7758398075996777,0.2612521578150835,-1.495394338076882,1.88,0.9136842105263158,0.3944144013338217,-0.5015593574154672,0.15,0.6876438138801262,-1.163611120148637,0.9442105263157895,0.95,1.0
10,10,10,13,160,7,5,5,2,False,0,0,1,train,0.5053615992314476,0.28960250551296274,-0.703928286859013,1.88,0.9136842105263158,0.030250541695510624,-0.030717531255163837,0.15,0.6876438138801262,-1.163611120148637,0.9442105263157895,0.95,1.0
11,11,11,18,178,2,4,5,3,False,0,0,1,train,0.4597066593917432,0.282805405793702,-0.6156430635675847,1.88,0.9136842105263158,0.0405741021437455,-0.04142019647377326,0.15,0.6876438138801264,-1.1636111201486377,0.9442105263157895,0.95,1.0
12,12,12,20,198,5,4,5,0,False,0,0,1,train,0.7878787211587408,0.2751925825550573,-1.5505970978738517,1.88,0.9136842105263158,0.4165197127479066,-0.5387446114558659,0.15,0.6876438138801262,-1.163611120148637,0.9442105263157895,0.95,1.0
13,13,13,23,221,5,5,5,0,True,0,0,1,test,0.806863186837727,0.2994942691540412,-0.2146011581232905,1.88,0.9136842105263158,0.4530726932052513,-0.791702695721372,0.15,0.6876438138801262,-0.3744842874916584,0.9442105263157895,0.95,1.0
14,14,14,22,243,5,5,5,0,True,0,0,1,test,0.8229528870224855,0.32259107060929054,-0.19485632535982664,1.88,0.9136842105263158,0.48525790925104595,-0.7230747577334524,0.15,0.6876438138801262,-0.3744842874916584,0.9442105263157895,0.95,1.0
15,15,15,14,257,7,4,5,2,False,0,0,1,test,0.521422869304203,0.34447841818603875,-0.7369378884025799,1.88,0.9136842105263158,0.04506995692960449,-0.04611719451399174,0.15,0.6876438138801262,-1.163611120148637,0.9442105263157895,0.95,1.0
16,16,16,17,274,5,4,5,0,False,0,0,1,train,0.8325814704066562,0.3377873799332227,-1.787258436530739,1.88,0.9136842105263158,0.5015150634747864,-0.6961819076391849,0.15,0.6876438138801262,-1.163611120148637,0.9442105263157895,0.95,1.0
17,17,17,22,296,1,1,5,3,True,0,0,1,test,0.35058868856652475,0.3577399128841243,-1.0481415700886993,1.88,0.9136842105263158,0.012439504106729152,-4.386878055268769,0.15,0.6876438138801263,-0.37448428749165824,0.9442105263157895,0.95,1.0
18,18,18,20,316,5,5,5,0,True,0,0,1,train,0.8414266365802896,0.3526733872350557,-0.17265645087459297,1.88,0.9136842105263158,0.5217329105069454,-0.6505994877405661,0.15,0.6876438138801262,-0.3744842874916584,0.9442105263157895,0.95,1.0
19,19,19,21,337,7,6,5,2,False,0,0,1,train,0.542067881002167,0.3709562279818456,-0.78103431764753,1.88,0.9136842105263158,0.061658500128096004,-0.0636413238760654,0.15,0.6876438138801262,-1.163611120148637,0.9442105263157895,0.95,1.0
20,20,20,14,351,5,3,5,0,False,1,1,1,train,0.8480568964003978,0.36451718120544757,-1.884249146634159,1.88,0.9136842105263158,0.5305576970405226,-0.756209878280612,0.15,0.6876438138801262,-1.163611120148637,0.9442105263157895,0.95,1.0
21,21,21,21,372,6,6,5,2,True,0,0,1,train,0.5121595715598078,0.3813720324876136,-0.6691190392967669,1.88,0.9136842105263158,0.06932466296044269,-2.6689545492239173,0.15,0.6876438138801263,-0.37448428749165824,0.9442105263157895,0.95,1.0
22,22,22,10,382,5,5,5,0,True,0,0,1,train,0.853850538377344,0.37517785221128713,-0.1579991141199035,1.88,0.9136842105263158,0.5364755530112979,-0.6227342854961251,0.15,0.6876438138801262,-0.3744842874916584,0.9442105263157895,0.95,1.0
23,23,23,15,397,5,5,5,0,True,0,0,1,test,0.8618188688838844,0.3907797863182015,-0.14871015930362202,1.88,0.9136842105263158,0.5536945359729994,-0.5911421234103238,0.15,0.6876438138801262,-0.3744842874916584,0.9442105263157895,0.95,1.0
